"any","zona","dat","via","pk","nommun","nomcom","nomdem","f_morts","f_ferits_greus","f_ferits_lleus","f_victimes","f_unitats_implicades","f_vianants_implicades","f_bicicletes_implicades","f_ciclomotors_implicades","f_motocicletes_implicades","f_veh_lleugers_implicades","f_veh_pesants_implicades","f_altres_unit_implicades","f_unit_desc_implicades","c_velocitat_via","d_acc_amb_fuga","d_boira","d_caract_entorn","d_carril_especial","d_circulacio_mesures_esp","d_climatologia","d_func_esp_via","d_gravetat","d_influit_boira","d_influit_caract_entorn","d_influit_circulacio","d_influit_estat_clima","d_influit_inten_vent","d_influit_lluminositat","d_influit_mesu_esp","d_influit_obj_calcada","d_influit_solcs_rases","d_influit_visibilitat","d_inter_seccio","d_limit_velocitat","d_lluminositat","d_regulacio_prioritat","d_sentits_via","d_subtipus_accident","d_subtipus_tram","d_subzona","d_superficie","d_tipus_via","d_titularitat_via","d_tracat_altimetric","d_vent","grupdialab","hor","gruphor","tipacc","tipdia"
"2010","Zona urbana","2010-12-13T15:20:00.000","SE","999999","GIRONA","Girones","Girona","0","1","1","2","4","0","0","0","1","2","1","0","0","100","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Dintre intersecció","Genérica via","De dia, dia clar","Sols norma prioritat de pas","Doble sentit","Caiguda en la via","Encreuament o intersecció en X o +","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","NA","Calma, vent molt suau","Feiners","152","Tarda","Bolcada a la calcada","dill-dij"
"2010","Carretera","2010-10-16T08:40:00.000","C-17","96","LLAGOSTA, LA","Valles Oriental","Barcelona","1","0","0","1","1","0","0","0","1","0","0","0","0","100","No","No n'hi ha","Desmunt","Carril habilitat en sentit contrari habitual","No n'hi ha","Bon temps","Sense funció especial","Accident mortal","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar","NA","Doble sentit","Resta sortides de via","NA","Carretera","Sec i net","Carretera convencional","Autonòmica","Rampa o pendent","Calma, vent molt suau","CapDeSetmana","84","Matí","Sortida de la calcada sense especificar","dis"
"2010","Carretera","2010-06-04T20:20:00.000","GI-533","6","AIGUAVIVA","Girones","Girona","0","1","0","1","2","0","0","0","1","1","0","0","0","50","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Dintre intersecció","Senyal velocitat","De dia, dia clar","Sols norma prioritat de pas","Doble sentit","Envestida (frontal lateral)","Intersecció en T o Y","Carretera","Sec i net","Carretera convencional","Autonòmica","Pla","Calma, vent molt suau","CapDeSetmana","202","Tarda","Col.lisió de vehicles en marxa","div"
"2010","Zona urbana","2010-07-10T15:10:00.000","SE","999999","BARCELONA","Barcelones","Barcelona","0","1","0","1","2","0","0","0","1","1","0","0","0","100","No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Dintre intersecció","Genérica via","De dia, dia clar","Senyal Stop o cedeix pas","Un sol sentit","Envestida (frontal lateral)","Encreuament o intersecció en X o +","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","NA","Calma, vent molt suau","CapDeSetmana","151","Tarda","Col.lisió de vehicles en marxa","dis"
"2010","Zona urbana","2010-01-04T15:40:00.000","SE","999999","BARCELONA","Barcelones","Barcelona","0","1","0","1","2","0","0","0","1","1","0","0","0","80","No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Senyal velocitat","De dia, dia clar","NA","Doble sentit","Caiguda en la via","NA","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","NA","Calma, vent molt suau","Feiners","154","Tarda","Bolcada a la calcada","dill-dij"
"2010","Zona urbana","2010-09-04T11:36:00.000","SE","999999","BADALONA","Barcelones","Barcelona","0","1","0","1","2","1","0","0","0","1","0","0","0","100","No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Dintre intersecció","Genérica via","De dia, dia clar","Sols marques viàries (inclou pas vianants)","Doble sentit","Atropellament","Encreuament o intersecció en X o +","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","NA","Calma, vent molt suau","CapDeSetmana","1136","Matí","Atropellament","dis"
"2010","Carretera","2010-06-24T05:35:00.000","AP-7","979","FOGARS DE TORDERA","Selva","Barcelona","0","2","4","6","4","0","0","0","0","2","2","0","0","100","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De nit, sense llum artificial","NA","Doble sentit","Encalç","NA","Carretera","Sec i net","Carretera convencional","Altres","Pla","Calma, vent molt suau","Feiners","535","Nit","Col.lisió de vehicles en marxa","dill-dij"
"2010","Carretera","2010-07-25T17:15:00.000","C-12","2082","CAMARASA","Noguera","Lleida","0","1","4","5","2","0","0","0","0","2","0","0","0","NA","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","Sense especificar","No","No","No","Sense especificar","No","No","No","No","Sense especificar","Dintre intersecció","Genérica via","De dia, dia clar","Senyal Stop o cedeix pas","Doble sentit","Fregament o col·lisió lateral","Intersecció en T o Y","Carretera","Sec i net","Carretera convencional","Autonòmica","Pla","Calma, vent molt suau","CapDeSetmana","1715","Tarda","Col.lisió de vehicles en marxa","dg"
"2010","Zona urbana","2010-12-11T12:43:00.000","SE","999999","VILAFRANCA DEL PENEDES","Alt Penedes","Barcelona","0","1","0","1","2","0","0","0","1","1","0","0","0","NA","No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Dintre intersecció","Genérica via","De dia, dia clar","Senyal Stop o cedeix pas","Sense especificar","Envestida (frontal lateral)","Intersecció en T o Y","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","Sense especificar","Calma, vent molt suau","CapDeSetmana","1243","Matí","Col.lisió de vehicles en marxa","dis"
"2010","Carretera","2010-06-01T00:05:00.000","TV-3148","3","VILA-SECA","Tarragones","Tarragona","0","1","1","2","2","0","0","1","0","1","0","0","0","40","No","No n'hi ha","Terraplé","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Dintre intersecció","Senyal velocitat","De nit, il·luminació artificial insuficient","Senyal Stop o cedeix pas","Doble sentit","Envestida (frontal lateral)","Giratòria","Carretera","Sec i net","Carretera convencional","Provincial","Rampa o pendent","Calma, vent molt suau","Feiners","5","Nit","Col.lisió de vehicles en marxa","dill-dij"
